id,common_name,scientific_name,kingdom_group,category,subcategory,season,habitat,description,edibility,medicinal_uses,warning,conservation_status,image_search,image_url
peregrine-falcon,Peregrine Falcon,Falco peregrinus,Birds,Resident bird,Raptor,All year,"Sea cliffs, mountains, quarries, cities","Powerful falcon, one of the fastest birds, hunting birds in flight.",N/A,N/A,Do not approach nests; protected,Protected resident,Falco peregrinus,
pied-wagtail,Pied Wagtail,Motacilla alba yarrellii,Birds,Resident bird,Urban/farmland bird,All year,"Towns, car parks, farms, lawns, rooftops",Black-white wagtail often walking and tail-bobbing on open ground.,N/A,N/A,Avoid disturbing roosts.,Common resident,Motacilla alba yarrellii,
reed-bunting,Reed Bunting,Emberiza schoeniclus,Birds,Resident bird,Wetland/farmland bird,All year,"Reedbeds, wet ditches, rough grassland, farmland margins",Small bunting; males have black head in breeding plumage.,N/A,N/A,Wetland edges and seed-rich margins are important.,"Resident, local",Emberiza schoeniclus,
european-robin,Robin,Erithacus rubecula,Birds,Resident bird,Garden bird,All year; sings winter and spring,"Gardens, woodland, hedgerows, parks","Familiar red-breasted bird, bold and musical, often close to gardeners.",N/A,N/A,Do not disturb nests,Common resident,Erithacus rubecula,
rook,Rook,Corvus frugilegus,Birds,Resident bird,Corvid,All year,"Farmland, rookeries, parks, towns",Social black corvid with bare greyish face around bill.,N/A,N/A,Rookeries can be noisy; avoid disturbance during breeding,Common resident,Corvus frugilegus,
skylark,Skylark,Alauda arvensis,Birds,Resident bird,Farmland/upland songbird,All year; song flight spring-summer,"Farmland, dunes, bog, upland grassland",Brown streaked bird singing high overhead in fluttering flight.,N/A,N/A,Ground-nesting; keep dogs on paths in breeding season,Declining in intensively managed landscapes,Alauda arvensis,
song-thrush,Song Thrush,Turdus philomelos,Birds,Resident bird,Songbird,All year,"Gardens, woodland, hedgerows, farmland",Speckled thrush known for repeated phrases in its song and snail anvils.,N/A,N/A,Avoid slug pellets that harm food chains,Resident; conservation concern in parts of range,Turdus philomelos,
sparrowhawk,Sparrowhawk,Accipiter nisus,Birds,Resident bird,Raptor,All year,"Woodland, gardens, hedgerows, parks",Small agile hawk hunting birds through trees and gardens.,N/A,N/A,Do not disturb nests; natural predator-prey behaviour.,Widespread resident raptor,Accipiter nisus,
starling,Starling,Sturnus vulgaris,Birds,Resident bird,Urban and farmland bird,All year; murmurations winter,"Towns, farms, gardens, coastal grassland","Glossy speckled bird, famous for winter murmurations.",N/A,N/A,Do not disturb roosts,Resident with winter migrants; declining in some areas,Sturnus vulgaris,
stonechat,Stonechat,Saxicola rubicola,Birds,Resident bird,Scrub/heath bird,All year,"Gorse, heath, coastal scrub, rough grassland",Small upright bird flicking wings and tail from gorse tops.,N/A,N/A,Protect scrub and rough grassland nesting habitat.,Resident; affected by hard winters,Saxicola rubicola,
tree-sparrow,Tree Sparrow,Passer montanus,Birds,Resident bird,Farmland bird,All year,"Farmland, hedgerows, nest boxes, old buildings",Small sparrow with chestnut cap and black cheek spot.,N/A,N/A,Protect nest sites and winter seed.,Scarce/local in Ireland,Passer montanus,
woodpigeon,Woodpigeon,Columba palumbus,Birds,Resident bird,Pigeon / dove,All year,"Woodland, gardens, farmland, parks",Large pigeon with white neck patch and clattering display flight.,N/A,N/A,Do not disturb nests,Common resident,Columba palumbus,
eurasian-wren,Wren,Troglodytes troglodytes,Birds,Resident bird,Garden and woodland bird,All year,"Hedgerows, woodland, gardens, stone walls",Tiny brown bird with loud song and cocked tail.,N/A,N/A,Do not cut hedges during nesting season,Very common resident,Troglodytes troglodytes,
yellowhammer,Yellowhammer,Emberiza citrinella,Birds,Resident bird,Farmland bunting,All year,"Tillage farmland, hedgerows, weedy margins",Bright yellow bunting with song often rendered as 'little bit of bread and no cheese'.,N/A,N/A,Needs winter seed and hedgerow nesting habitat.,Farmland conservation concern,Emberiza citrinella,
black-headed-gull,Black-headed Gull,Chroicocephalus ridibundus,Birds,Resident/winter visitor,Gull,All year,"Lakes, wetlands, farmland, towns, coasts",Small gull with chocolate-brown summer hood and red bill/legs.,N/A,N/A,Do not feed processed foods.,Resident and winter visitor,Chroicocephalus ridibundus,
coot,Coot,Fulica atra,Birds,Resident/winter visitor,Waterbird,All year,"Lakes, ponds, reservoirs, canals",Black waterbird with white bill and forehead shield.,N/A,N/A,Avoid disturbing nest platforms.,Resident/local,Fulica atra,
eider,Eider,Somateria mollissima,Birds,Resident/winter visitor,Sea duck,All year on some coasts,"Rocky coasts, islands, sheltered bays",Large sea duck; males black-and-white with greenish nape.,N/A,N/A,Do not disturb coastal nesting areas.,Local resident/wintering sea duck,Somateria mollissima,
hen-harrier,Hen Harrier,Circus cyaneus,Birds,Resident/winter visitor,Raptor,All year; winter roosts,"Uplands, bogs, young forestry, rough grassland",Elegant low-flying raptor with owl-like face; grey males and brown ringtails.,N/A,N/A,Do not disturb nests or winter roosts.,Conservation concern; protected,Circus cyaneus,
merlin,Merlin,Falco columbarius,Birds,Resident/winter visitor,Raptor,All year; more visible winter/coasts,"Uplands, bogs, coasts, open country",Tiny fast falcon hunting small birds over open ground.,N/A,N/A,Sensitive upland breeder; observe from distance.,Protected; local breeder and winter visitor,Falco columbarius,
red-breasted-merganser,Red-breasted Merganser,Mergus serrator,Birds,Resident/winter visitor,Sawbill duck,All year,"Sea loughs, estuaries, lakes, rivers",Fish-eating diving duck with spiky crest and slender red bill.,N/A,N/A,Avoid disturbance near nesting/wintering waters.,Resident and winter visitor,Mergus serrator,
ringed-plover,Ringed Plover,Charadrius hiaticula,Birds,Resident/winter visitor,Wader,All year,"Beaches, shingle, estuaries, machair","Small plover with black breast band, nesting on open beaches/shingle.",N/A,N/A,Beach nests are easily crushed; keep dogs controlled.,Local breeder and winter visitor,Charadrius hiaticula,
shelduck,Shelduck,Tadorna tadorna,Birds,Resident/winter visitor,Duck,All year,"Estuaries, mudflats, coastal lagoons",Large striking duck with chestnut band and red bill.,N/A,N/A,Keep dogs away from feeding flocks.,Resident/wintering waterbird,Tadorna tadorna,
siskin,Siskin,Spinus spinus,Birds,Resident/winter visitor,Finch,All year; winter flocks,"Conifer woods, alder, birch, gardens",Small yellow-green finch often feeding in alder or at nyjer seed.,N/A,N/A,Clean feeders responsibly.,Resident and winter visitor,Spinus spinus,
tufted-duck,Tufted Duck,Aythya fuligula,Birds,Resident/winter visitor,Duck,All year,"Lakes, reservoirs, canals, wetlands",Diving duck; male black-and-white with tufted head.,N/A,N/A,Avoid disturbance on wintering waters.,Resident and winter visitor,Aythya fuligula,
water-rail,Water Rail,Rallus aquaticus,Birds,Resident/winter visitor,Secretive wetland bird,All year; easier heard winter,"Reedbeds, marshes, dense wet vegetation",Secretive rail with piglet-like squealing call from reeds.,N/A,N/A,Do not enter reedbeds; observe from paths.,Under-recorded wetland bird,Rallus aquaticus,
atlantic-puffin,Atlantic Puffin,Fratercula arctica,Birds,Seabird,Summer breeder,Apr-Aug,"Offshore islands, sea cliffs",Colourful auk nesting in burrows on islands and cliffs.,N/A,N/A,Do not approach colonies; trampling burrows is dangerous.,Seabird of conservation concern,Fratercula arctica,
common-guillemot,Common Guillemot,Uria aalge,Birds,Seabird,Breeding seabird,Mar-Aug colonies; offshore winter,"Sea cliffs, offshore waters",Chocolate-brown and white auk nesting densely on cliff ledges.,N/A,N/A,Avoid cliff-edge disturbance.,Common breeding seabird,Uria aalge,
european-storm-petrel,European Storm-petrel,Hydrobates pelagicus,Birds,Seabird,Summer breeder/offshore,May-Sep,"Offshore waters, islands, rocky crevices","Tiny dark seabird fluttering over waves, breeding in hidden crevices.",N/A,N/A,Colonies extremely sensitive; avoid disturbance.,Protected breeding seabird,Hydrobates pelagicus,
fulmar,Fulmar,Fulmarus glacialis,Birds,Seabird,Breeding seabird,"All year, breeding spring-summer","Sea cliffs, offshore waters",Grey-white tube-nosed seabird gliding on stiff wings.,N/A,N/A,Do not approach nests; can spit foul oil defensively.,Breeding seabird,Fulmarus glacialis,
kittiwake,Kittiwake,Rissa tridactyla,Birds,Seabird,Breeding seabird,Mar-Aug colonies,"Sea cliffs, coastal towns, offshore waters",Small gull with black wingtips and distinctive kitti-wake call.,N/A,N/A,Avoid disturbing nesting ledges.,Conservation concern in many areas,Rissa tridactyla,
manx-shearwater,Manx Shearwater,Puffinus puffinus,Birds,Seabird,Summer breeder/offshore migrant,Mar-Sep,"Offshore waters, breeding islands",Long-winged seabird shearing low over waves; nests in burrows on islands.,N/A,N/A,Do not visit colonies without guidance; sensitive to rats and lights.,Important Irish breeding populations,Puffinus puffinus,
northern-gannet,Northern Gannet,Morus bassanus,Birds,Seabird,Breeding/summer visitor,Mar-Oct near colonies; offshore year-round,"Sea cliffs, offshore waters",Large white seabird diving spectacularly for fish.,N/A,N/A,View colonies from safe distance.,Breeding seabird; vulnerable to marine changes,Morus bassanus,
razorbill,Razorbill,Alca torda,Birds,Seabird,Breeding seabird,Mar-Aug colonies; offshore winter,Sea cliffs and offshore waters,Black-and-white auk with thick blunt bill and white bill line.,N/A,N/A,Keep distance from cliff colonies.,Breeding seabird,Alca torda,
shag,Shag,Gulosus aristotelis,Birds,Seabird,Resident bird,All year,"Rocky coasts, islands, harbours",Dark green-glossed cormorant relative with slender bill and crest in breeding season.,N/A,N/A,View roosts and colonies from distance.,Resident seabird,Gulosus aristotelis,
arctic-tern,Arctic Tern,Sterna paradisaea,Birds,Summer migrant,Seabird,May-Sep,"Coastal islands, beaches, lagoons",Elegant seabird making one of the longest migrations on Earth.,N/A,N/A,Avoid tern colonies; they are sensitive and defended fiercely,Summer breeding seabird; protected colonies,Sterna paradisaea,
common-sandpiper,Common Sandpiper,Actitis hypoleucos,Birds,Summer migrant,Wader,Apr-Sep,"Lakeshores, riverbanks, upland streams",Small bobbing wader flying low over water with stiff wingbeats.,N/A,N/A,Do not disturb nesting riverbanks.,Summer visitor,Actitis hypoleucos,
common-tern,Common Tern,Sterna hirundo,Birds,Summer migrant,Tern,Apr-Sep,"Coasts, lakes, islands, rivers",Elegant tern with red bill and buoyant flight.,N/A,N/A,Do not disturb colonies.,Summer breeder; protected colonies,Sterna hirundo,
common-cuckoo,Cuckoo,Cuculus canorus,Birds,Summer migrant,Migratory bird,Apr-Jul,"Bog, scrub, heath, woodland edge, farmland",Famous for its call; lays eggs in other birds’ nests.,N/A,N/A,Observe only; host species and habitats matter,Declining summer visitor,Cuculus canorus,
house-martin,House Martin,Delichon urbicum,Birds,Summer migrant,Migratory songbird,Apr-Sep,"Buildings, villages, towns, cliffs, open sky",Small blue-black and white bird building mud nests under eaves.,N/A,N/A,Avoid removing active nests; provide mud and nest cups,Summer visitor; declining in parts of range,Delichon urbicum,
little-tern,Little Tern,Sternula albifrons,Birds,Summer migrant,Tern,May-Aug,"Shingle beaches, sandy beaches, coastal spits",Tiny tern nesting on open shingle and sand.,N/A,N/A,Beach-nesting; keep dogs and people away from fenced colonies.,Conservation-dependent summer breeder,Sternula albifrons,
roseate-tern,Roseate Tern,Sterna dougallii,Birds,Summer migrant,Tern,May-Sep,Coastal islands and managed colonies,Rare pale tern with rosy flush and long tail streamers.,N/A,N/A,Colonies are highly protected; observe only from permitted areas.,Conservation priority breeding seabird,Sterna dougallii,
sand-martin,Sand Martin,Riparia riparia,Birds,Summer migrant,Migratory songbird,Mar-Sep,"Riverbanks, sand pits, lakes, quarries",Small brown-and-white hirundine nesting in sandy banks.,N/A,N/A,Do not disturb nesting banks,Summer visitor; dependent on suitable nesting banks,Riparia riparia,
sandwich-tern,Sandwich Tern,Thalasseus sandvicensis,Birds,Summer migrant,Tern,Apr-Sep,"Coastal lagoons, islands, estuaries",Large tern with black shaggy crest and yellow-tipped bill.,N/A,N/A,Avoid tern colonies; keep dogs away.,Summer breeding seabird,Thalasseus sandvicensis,
sedge-warbler,Sedge Warbler,Acrocephalus schoenobaenus,Birds,Summer migrant,Warbler,Apr-Sep,"Reedbeds, wet scrub, ditches, marshes",Energetic brown warbler singing from wet vegetation and reeds.,N/A,N/A,Protect reedbeds and ditch margins.,Summer visitor,Acrocephalus schoenobaenus,
swallow,Swallow,Hirundo rustica,Birds,Summer migrant,Migratory songbird,Apr-Sep,"Farms, villages, wires, open countryside",Long-tailed aerial insectivore returning from Africa for summer breeding.,N/A,N/A,Keep nest access where safe; insects are essential,Common summer visitor; migration dependent,Hirundo rustica,
swift,Swift,Apus apus,Birds,Summer migrant,Migratory aerial bird,May-Aug,"Towns, villages, high buildings, open sky","Scythe-winged bird screaming over rooftops, spending most life airborne.",N/A,N/A,Protect nest holes during renovations,Summer visitor; conservation concern,Apus apus,
wheatear,Wheatear,Oenanthe oenanthe,Birds,Summer migrant,Migratory songbird,Mar-Sep,"Coastal rocks, dunes, uplands, stone walls","Upright bird with white rump, breeding in open rocky country.",N/A,N/A,Do not disturb ground nests,Summer visitor,Oenanthe oenanthe,
willow-warbler,Willow Warbler,Phylloscopus trochilus,Birds,Summer migrant,Warbler,Apr-Sep,"Willow scrub, young woodland, bog edge, hedgerows","Small warbler with sweet descending song, migrating from Africa.",N/A,N/A,Scrub removal reduces habitat,Common summer visitor but changing distribution,Phylloscopus trochilus,
chiffchaff,Chiffchaff,Phylloscopus collybita,Birds,Summer migrant / increasing winterer,Warbler,Mar-Oct; some winter,"Woodland, scrub, gardens, hedgerows",Small olive-brown warbler named after its repetitive song.,N/A,N/A,Protect scrub and insect-rich habitat,Common summer visitor; some overwinter,Phylloscopus collybita,
blackcap,Blackcap,Sylvia atricapilla,Birds,Summer migrant / winter visitor,Warbler,Apr-Sep breeding; some winter,"Woodland, gardens, scrub, hedgerows","Melodious warbler; males have black cap, females brown cap.",N/A,N/A,Maintain shrubs and insect-rich gardens.,Common summer visitor; increasing winter records,Sylvia atricapilla,
bar-tailed-godwit,Bar-tailed Godwit,Limosa lapponica,Birds,Winter migrant,Wader,Sep-Apr,"Estuaries, mudflats, sandy shores",Long-billed wader wintering on Irish estuaries after Arctic breeding.,N/A,N/A,Protect estuary feeding and roosting sites.,Winter visitor of international importance at some sites,Limosa lapponica,
black-tailed-godwit,Black-tailed Godwit,Limosa limosa,Birds,Winter migrant,Wader,Jul-Apr,"Estuaries, callows, wetlands, lagoons","Elegant long-legged wader with straight bill, often in wetland flocks.",N/A,N/A,Avoid disturbing wetland flocks.,Winter visitor/passage migrant,Limosa limosa,
fieldfare,Fieldfare,Turdus pilaris,Birds,Winter migrant,Thrush,Oct-Mar,"Fields, hedgerows, orchards, berry trees","Large grey-headed winter thrush, often seen with redwings.",N/A,N/A,Protect hedgerow berries,Winter visitor,Turdus pilaris,
goldeneye,Goldeneye,Bucephala clangula,Birds,Winter migrant,Diving duck,Nov-Mar,"Lakes, reservoirs, sheltered coasts",Compact diving duck; males have white cheek spot and golden eye.,N/A,N/A,Winter flocks need undisturbed water.,Winter visitor,Bucephala clangula,
grey-plover,Grey Plover,Pluvialis squatarola,Birds,Winter migrant,Wader,Aug-Apr,"Estuaries, mudflats, coastal lagoons","Stocky winter wader, grey in winter, black-bellied in breeding plumage elsewhere.",N/A,N/A,Avoid disturbance at high tide roosts.,Winter visitor,Pluvialis squatarola,
knot,Knot,Calidris canutus,Birds,Winter migrant,Wader,Aug-Apr,"Estuaries, mudflats, sandy shores","Medium wader forming tight winter flocks, grey in winter, red in breeding plumage elsewhere.",N/A,N/A,Avoid disturbing high-tide roosts.,Winter visitor,Calidris canutus,
brent-goose,Light-bellied Brent Goose,Branta bernicla hrota,Birds,Winter migrant,Goose,Oct-Apr,"Estuaries, eelgrass beds, coastal grasslands",Small dark goose wintering in Ireland after breeding in Arctic Canada.,N/A,N/A,Keep dogs away from feeding flocks,Important winter visitor; internationally significant Irish sites,Branta bernicla hrota,
pintail,Pintail,Anas acuta,Birds,Winter migrant,Duck,Oct-Mar,"Estuaries, marshes, coastal lagoons",Elegant long-necked duck with pointed tail in males.,N/A,N/A,Sensitive to disturbance on wetlands.,Winter visitor,Anas acuta,
redwing,Redwing,Turdus iliacus,Birds,Winter migrant,Thrush,Oct-Mar,"Hedgerows, fields, gardens, berry trees","Small winter thrush with red underwing and pale eyebrow, often in flocks.",N/A,N/A,Leave berries and hedges for winter food,Winter visitor,Turdus iliacus,
turnstone,Turnstone,Arenaria interpres,Birds,Winter migrant,Wader,Aug-Apr; some summering,"Rocky shores, seaweed strandlines, piers",Stocky wader flipping stones and seaweed for food.,N/A,N/A,Give feeding birds space on shorelines.,Winter visitor,Arenaria interpres,
whooper-swan,Whooper Swan,Cygnus cygnus,Birds,Winter migrant,Swan,Oct-Apr,"Lakes, callows, wetlands, flooded fields","Large migratory swan from Iceland, with yellow-and-black bill.",N/A,N/A,View from distance; avoid disturbing flocks,Winter visitor; protected,Cygnus cygnus,
wigeon,Wigeon,Mareca penelope,Birds,Winter migrant,Duck,Sep-Apr,"Estuaries, coastal grassland, lakes, callows",Whistling duck wintering in large flocks on wetlands and grassland.,N/A,N/A,Do not disturb feeding flocks.,Common winter visitor,Mareca penelope,
dunlin,Dunlin,Calidris alpina,Birds,Winter visitor / scarce breeder,Wader,Mostly Aug-Apr; breeding scarce,"Estuaries, mudflats, coastal lagoons, bogs","Small wader with drooping bill, often in large winter flocks.",N/A,N/A,Keep dogs away from roosting/feeding flocks.,Important wintering species; breeding decline,Calidris alpina,
short-eared-owl,Short-eared Owl,Asio flammeus,Birds,Winter visitor / scarce breeder,Owl,Mostly winter,"Bog, marsh, rough grassland, coastal dunes","Day-flying owl of open ground, often seen hunting low over marshes.",N/A,N/A,Keep distance from roosting/hunting birds.,Scarce; winter visitor and occasional breeder,Asio flammeus,
golden-plover,Golden Plover,Pluvialis apricaria,Birds,Winter visitor / upland breeder,Wader,All year; winter flocks,"Bog, moorland, pasture, estuaries",Golden-spangled plover forming large winter flocks over fields and bogs.,N/A,N/A,Ground-nesting; avoid disturbing upland breeding sites.,Breeding and wintering species,Pluvialis apricaria,
teal,Teal,Anas crecca,Birds,Winter visitor/resident,Duck,Mostly Sep-Mar; some breed,"Wetlands, lakes, marshes, estuaries",Tiny duck; males show chestnut head with green eye patch.,N/A,N/A,Avoid flushing wintering ducks.,Common winter visitor,Anas crecca,
shoveler,Shoveler,Spatula clypeata,Birds,Winter visitor/resident breeder,Duck,"All year, more winter","Lakes, marshes, lagoons, turloughs",Duck with broad spatulate bill used for filter-feeding.,N/A,N/A,Protect shallow wetland feeding areas.,Local breeder and winter visitor,Spatula clypeata,
common-frog,Common Frog,Rana temporaria,Fauna,Amphibian,Frog,Spawn Jan-Mar; adults all year,"Ponds, damp grassland, bogs, gardens","Ireland’s familiar frog, often seen around ponds in spring.",N/A,N/A,Do not move spawn between ponds; disease risk,Protected native amphibian,Rana temporaria,
